,Year,value,indicator,Country Code,Country Name,Region,Income Group,Lending Type
49,2017,3.5,SH.STA.SUIC.P5,BGD,Bangladesh,South Asia,Lower middle income,IDA
50,2018,3.6,SH.STA.SUIC.P5,BGD,Bangladesh,South Asia,Lower middle income,IDA
51,2019,3.7,SH.STA.SUIC.P5,BGD,Bangladesh,South Asia,Lower middle income,IDA
52,2016,0.6,SH.STA.SUIC.P5,BRB,Barbados,Latin America & Caribbean ,High income,Not classified
53,2017,0.6,SH.STA.SUIC.P5,BRB,Barbados,Latin America & Caribbean ,High income,Not classified
54,2018,0.6,SH.STA.SUIC.P5,BRB,Barbados,Latin America & Caribbean ,High income,Not classified
55,2019,0.6,SH.STA.SUIC.P5,BRB,Barbados,Latin America & Caribbean ,High income,Not classified
56,2016,24.2,SH.STA.SUIC.P5,BLR,Belarus,Europe & Central Asia,Upper middle income,IBRD
57,2017,23.3,SH.STA.SUIC.P5,BLR,Belarus,Europe & Central Asia,Upper middle income,IBRD
58,2018,22.8,SH.STA.SUIC.P5,BLR,Belarus,Europe & Central Asia,Upper middle income,IBRD
59,2019,21.2,SH.STA.SUIC.P5,BLR,Belarus,Europe & Central Asia,Upper middle income,IBRD
60,2016,19.3,SH.STA.SUIC.P5,BEL,Belgium,Europe & Central Asia,High income,Not classified
61,2017,18.9,SH.STA.SUIC.P5,BEL,Belgium,Europe & Central Asia,High income,Not classified
62,2018,18.7,SH.STA.SUIC.P5,BEL,Belgium,Europe & Central Asia,High income,Not classified
63,2019,18.3,SH.STA.SUIC.P5,BEL,Belgium,Europe & Central Asia,High income,Not classified
64,2016,5.8,SH.STA.SUIC.P5,BLZ,Belize,Latin America & Caribbean ,Lower middle income,IBRD
65,2017,7,SH.STA.SUIC.P5,BLZ,Belize,Latin America & Caribbean ,Lower middle income,IBRD
66,2018,6.5,SH.STA.SUIC.P5,BLZ,Belize,Latin America & Caribbean ,Lower middle income,IBRD
67,2019,7.1,SH.STA.SUIC.P5,BLZ,Belize,Latin America & Caribbean ,Lower middle income,IBRD
68,2016,8,SH.STA.SUIC.P5,BEN,Benin,Sub-Saharan Africa ,Lower middle income,IDA
69,2017,8,SH.STA.SUIC.P5,BEN,Benin,Sub-Saharan Africa ,Lower middle income,IDA
70,2018,7.9,SH.STA.SUIC.P5,BEN,Benin,Sub-Saharan Africa ,Lower middle income,IDA
71,2019,7.8,SH.STA.SUIC.P5,BEN,Benin,Sub-Saharan Africa ,Lower middle income,IDA
72,2016,4.5,SH.STA.SUIC.P5,BTN,Bhutan,South Asia,Lower middle income,IDA
73,2017,4.6,SH.STA.SUIC.P5,BTN,Bhutan,South Asia,Lower middle income,IDA
74,2018,4.6,SH.STA.SUIC.P5,BTN,Bhutan,South Asia,Lower middle income,IDA
75,2019,4.6,SH.STA.SUIC.P5,BTN,Bhutan,South Asia,Lower middle income,IDA
76,2016,6.6,SH.STA.SUIC.P5,BOL,Bolivia,Latin America & Caribbean ,Lower middle income,IBRD
77,2017,6.4,SH.STA.SUIC.P5,BOL,Bolivia,Latin America & Caribbean ,Lower middle income,IBRD
78,2018,6.3,SH.STA.SUIC.P5,BOL,Bolivia,Latin America & Caribbean ,Lower middle income,IBRD
79,2019,6.2,SH.STA.SUIC.P5,BOL,Bolivia,Latin America & Caribbean ,Lower middle income,IBRD
80,2016,10.5,SH.STA.SUIC.P5,BIH,Bosnia and Herzegovina,Europe & Central Asia,Upper middle income,IBRD
81,2017,10.5,SH.STA.SUIC.P5,BIH,Bosnia and Herzegovina,Europe & Central Asia,Upper middle income,IBRD
82,2018,10.8,SH.STA.SUIC.P5,BIH,Bosnia and Herzegovina,Europe & Central Asia,Upper middle income,IBRD
83,2019,10.9,SH.STA.SUIC.P5,BIH,Bosnia and Herzegovina,Europe & Central Asia,Upper middle income,IBRD
84,2016,17.8,SH.STA.SUIC.P5,BWA,Botswana,Sub-Saharan Africa ,Upper middle income,IBRD
85,2017,17.4,SH.STA.SUIC.P5,BWA,Botswana,Sub-Saharan Africa ,Upper middle income,IBRD
86,2018,17.4,SH.STA.SUIC.P5,BWA,Botswana,Sub-Saharan Africa ,Upper middle income,IBRD
87,2019,16.1,SH.STA.SUIC.P5,BWA,Botswana,Sub-Saharan Africa ,Upper middle income,IBRD
88,2016,6,SH.STA.SUIC.P5,BRA,Brazil,Latin America & Caribbean ,Upper middle income,IBRD
89,2017,6.6,SH.STA.SUIC.P5,BRA,Brazil,Latin America & Caribbean ,Upper middle income,IBRD
90,2018,7,SH.STA.SUIC.P5,BRA,Brazil,Latin America & Caribbean ,Upper middle income,IBRD
91,2019,6.9,SH.STA.SUIC.P5,BRA,Brazil,Latin America & Caribbean ,Upper middle income,IBRD
92,2016,2.6,SH.STA.SUIC.P5,BRN,Brunei Darussalam,East Asia & Pacific,High income,Not classified
93,2017,3.3,SH.STA.SUIC.P5,BRN,Brunei Darussalam,East Asia & Pacific,High income,Not classified
94,2018,3.1,SH.STA.SUIC.P5,BRN,Brunei Darussalam,East Asia & Pacific,High income,Not classified
95,2019,2.7,SH.STA.SUIC.P5,BRN,Brunei Darussalam,East Asia & Pacific,High income,Not classified
96,2016,9.7,SH.STA.SUIC.P5,BGR,Bulgaria,Europe & Central Asia,Upper middle income,IBRD
97,2017,10.3,SH.STA.SUIC.P5,BGR,Bulgaria,Europe & Central Asia,Upper middle income,IBRD
98,2018,9.7,SH.STA.SUIC.P5,BGR,Bulgaria,Europe & Central Asia,Upper middle income,IBRD
99,2019,9.7,SH.STA.SUIC.P5,BGR,Bulgaria,Europe & Central Asia,Upper middle income,IBRD
100,2016,7.8,SH.STA.SUIC.P5,BFA,Burkina Faso,Sub-Saharan Africa ,Low income,IDA
101,2017,7.7,SH.STA.SUIC.P5,BFA,Burkina Faso,Sub-Saharan Africa ,Low income,IDA
102,2018,7.6,SH.STA.SUIC.P5,BFA,Burkina Faso,Sub-Saharan Africa ,Low income,IDA
103,2019,7.5,SH.STA.SUIC.P5,BFA,Burkina Faso,Sub-Saharan Africa ,Low income,IDA
104,2016,6.4,SH.STA.SUIC.P5,BDI,Burundi,Sub-Saharan Africa ,Low income,IDA
105,2017,6.4,SH.STA.SUIC.P5,BDI,Burundi,Sub-Saharan Africa ,Low income,IDA
106,2018,6.3,SH.STA.SUIC.P5,BDI,Burundi,Sub-Saharan Africa ,Low income,IDA
107,2019,6.2,SH.STA.SUIC.P5,BDI,Burundi,Sub-Saharan Africa ,Low income,IDA
108,2016,14.4,SH.STA.SUIC.P5,CPV,Cabo Verde,Sub-Saharan Africa ,Lower middle income,Blend
109,2017,14.2,SH.STA.SUIC.P5,CPV,Cabo Verde,Sub-Saharan Africa ,Lower middle income,Blend
110,2018,13.4,SH.STA.SUIC.P5,CPV,Cabo Verde,Sub-Saharan Africa ,Lower middle income,Blend
111,2019,12.9,SH.STA.SUIC.P5,CPV,Cabo Verde,Sub-Saharan Africa ,Lower middle income,Blend
112,2016,5.1,SH.STA.SUIC.P5,KHM,Cambodia,East Asia & Pacific,Lower middle income,IDA
113,2017,5,SH.STA.SUIC.P5,KHM,Cambodia,East Asia & Pacific,Lower middle income,IDA
114,2018,4.9,SH.STA.SUIC.P5,KHM,Cambodia,East Asia & Pacific,Lower middle income,IDA
115,2019,4.9,SH.STA.SUIC.P5,KHM,Cambodia,East Asia & Pacific,Lower middle income,IDA
116,2016,9.2,SH.STA.SUIC.P5,CMR,Cameroon,Sub-Saharan Africa ,Lower middle income,Blend
117,2017,9,SH.STA.SUIC.P5,CMR,Cameroon,Sub-Saharan Africa ,Lower middle income,Blend
118,2018,8.9,SH.STA.SUIC.P5,CMR,Cameroon,Sub-Saharan Africa ,Lower middle income,Blend
119,2019,9,SH.STA.SUIC.P5,CMR,Cameroon,Sub-Saharan Africa ,Lower middle income,Blend
120,2016,11.9,SH.STA.SUIC.P5,CAN,Canada,North America,High income,Not classified
121,2017,13,SH.STA.SUIC.P5,CAN,Canada,North America,High income,Not classified
122,2018,12,SH.STA.SUIC.P5,CAN,Canada,North America,High income,Not classified
123,2019,11.8,SH.STA.SUIC.P5,CAN,Canada,North America,High income,Not classified
124,2016,13.7,SH.STA.SUIC.P5,CAF,Central African Republic,Sub-Saharan Africa ,Low income,IDA
125,2017,14.3,SH.STA.SUIC.P5,CAF,Central African Republic,Sub-Saharan Africa ,Low income,IDA
126,2018,12.8,SH.STA.SUIC.P5,CAF,Central African Republic,Sub-Saharan Africa ,Low income,IDA
127,2019,12.3,SH.STA.SUIC.P5,CAF,Central African Republic,Sub-Saharan Africa ,Low income,IDA
128,2016,6.7,SH.STA.SUIC.P5,TCD,Chad,Sub-Saharan Africa ,Low income,IDA
129,2017,6.7,SH.STA.SUIC.P5,TCD,Chad,Sub-Saharan Africa ,Low income,IDA
130,2018,6.6,SH.STA.SUIC.P5,TCD,Chad,Sub-Saharan Africa ,Low income,IDA
131,2019,6.4,SH.STA.SUIC.P5,TCD,Chad,Sub-Saharan Africa ,Low income,IDA
132,2016,10,SH.STA.SUIC.P5,CHL,Chile,Latin America & Caribbean ,High income,IBRD
133,2017,9.3,SH.STA.SUIC.P5,CHL,Chile,Latin America & Caribbean ,High income,IBRD
134,2018,8.8,SH.STA.SUIC.P5,CHL,Chile,Latin America & Caribbean ,High income,IBRD
135,2019,9,SH.STA.SUIC.P5,CHL,Chile,Latin America & Caribbean ,High income,IBRD
136,2016,8.2,SH.STA.SUIC.P5,CHN,China,East Asia & Pacific,Upper middle income,IBRD
137,2017,8.1,SH.STA.SUIC.P5,CHN,China,East Asia & Pacific,Upper middle income,IBRD
138,2018,8.1,SH.STA.SUIC.P5,CHN,China,East Asia & Pacific,Upper middle income,IBRD
139,2019,8.1,SH.STA.SUIC.P5,CHN,China,East Asia & Pacific,Upper middle income,IBRD
140,2016,4.2,SH.STA.SUIC.P5,COL,Colombia,Latin America & Caribbean ,Upper middle income,IBRD
141,2017,4.7,SH.STA.SUIC.P5,COL,Colombia,Latin America & Caribbean ,Upper middle income,IBRD
142,2018,4,SH.STA.SUIC.P5,COL,Colombia,Latin America & Caribbean ,Upper middle income,IBRD
143,2019,3.9,SH.STA.SUIC.P5,COL,Colombia,Latin America & Caribbean ,Upper middle income,IBRD
144,2016,5.5,SH.STA.SUIC.P5,COM,Comoros,Sub-Saharan Africa ,Lower middle income,IDA
145,2017,5.4,SH.STA.SUIC.P5,COM,Comoros,Sub-Saharan Africa ,Lower middle income,IDA
146,2018,5.4,SH.STA.SUIC.P5,COM,Comoros,Sub-Saharan Africa ,Lower middle income,IDA
147,2019,5.4,SH.STA.SUIC.P5,COM,Comoros,Sub-Saharan Africa ,Lower middle income,IDA
148,2016,6.5,SH.STA.SUIC.P5,COD,"Congo, Dem. Rep.",Sub-Saharan Africa ,Low income,IDA
149,2017,6.5,SH.STA.SUIC.P5,COD,"Congo, Dem. Rep.",Sub-Saharan Africa ,Low income,IDA
150,2018,6.7,SH.STA.SUIC.P5,COD,"Congo, Dem. Rep.",Sub-Saharan Africa ,Low income,IDA
151,2019,6.7,SH.STA.SUIC.P5,COD,"Congo, Dem. Rep.",Sub-Saharan Africa ,Low income,IDA
152,2016,6.7,SH.STA.SUIC.P5,COG,"Congo, Rep.",Sub-Saharan Africa ,Lower middle income,Blend
153,2017,6.6,SH.STA.SUIC.P5,COG,"Congo, Rep.",Sub-Saharan Africa ,Lower middle income,Blend
154,2018,6.5,SH.STA.SUIC.P5,COG,"Congo, Rep.",Sub-Saharan Africa ,Lower middle income,Blend
155,2019,6.5,SH.STA.SUIC.P5,COG,"Congo, Rep.",Sub-Saharan Africa ,Lower middle income,Blend
156,2016,7.7,SH.STA.SUIC.P5,CRI,Costa Rica,Latin America & Caribbean ,Upper middle income,IBRD
157,2017,6.1,SH.STA.SUIC.P5,CRI,Costa Rica,Latin America & Caribbean ,Upper middle income,IBRD
158,2018,7.2,SH.STA.SUIC.P5,CRI,Costa Rica,Latin America & Caribbean ,Upper middle income,IBRD
159,2019,8.1,SH.STA.SUIC.P5,CRI,Costa Rica,Latin America & Caribbean ,Upper middle income,IBRD
160,2016,9.6,SH.STA.SUIC.P5,CIV,Cote d'Ivoire,Sub-Saharan Africa ,Lower middle income,IDA
161,2017,9.2,SH.STA.SUIC.P5,CIV,Cote d'Ivoire,Sub-Saharan Africa ,Lower middle income,IDA
162,2018,9,SH.STA.SUIC.P5,CIV,Cote d'Ivoire,Sub-Saharan Africa ,Lower middle income,IDA
163,2019,8.9,SH.STA.SUIC.P5,CIV,Cote d'Ivoire,Sub-Saharan Africa ,Lower middle income,IDA
164,2016,16.4,SH.STA.SUIC.P5,HRV,Croatia,Europe & Central Asia,High income,IBRD
165,2017,15.7,SH.STA.SUIC.P5,HRV,Croatia,Europe & Central Asia,High income,IBRD
166,2018,16.4,SH.STA.SUIC.P5,HRV,Croatia,Europe & Central Asia,High income,IBRD
167,2019,16.4,SH.STA.SUIC.P5,HRV,Croatia,Europe & Central Asia,High income,IBRD
168,2016,13.4,SH.STA.SUIC.P5,CUB,Cuba,Latin America & Caribbean ,Upper middle income,Not classified
169,2017,14.5,SH.STA.SUIC.P5,CUB,Cuba,Latin America & Caribbean ,Upper middle income,Not classified
170,2018,14.3,SH.STA.SUIC.P5,CUB,Cuba,Latin America & Caribbean ,Upper middle income,Not classified
171,2019,14.5,SH.STA.SUIC.P5,CUB,Cuba,Latin America & Caribbean ,Upper middle income,Not classified
172,2016,4.6,SH.STA.SUIC.P5,CYP,Cyprus,Europe & Central Asia,High income,Not classified
173,2017,3.7,SH.STA.SUIC.P5,CYP,Cyprus,Europe & Central Asia,High income,Not classified
174,2018,4.2,SH.STA.SUIC.P5,CYP,Cyprus,Europe & Central Asia,High income,Not classified
175,2019,3.6,SH.STA.SUIC.P5,CYP,Cyprus,Europe & Central Asia,High income,Not classified
176,2016,13,SH.STA.SUIC.P5,CZE,Czech Republic,Europe & Central Asia,High income,Not classified
177,2017,13.9,SH.STA.SUIC.P5,CZE,Czech Republic,Europe & Central Asia,High income,Not classified
178,2018,13.6,SH.STA.SUIC.P5,CZE,Czech Republic,Europe & Central Asia,High income,Not classified
179,2019,12.2,SH.STA.SUIC.P5,CZE,Czech Republic,Europe & Central Asia,High income,Not classified
180,2016,10.9,SH.STA.SUIC.P5,DNK,Denmark,Europe & Central Asia,High income,Not classified
181,2017,11.3,SH.STA.SUIC.P5,DNK,Denmark,Europe & Central Asia,High income,Not classified
182,2018,11.4,SH.STA.SUIC.P5,DNK,Denmark,Europe & Central Asia,High income,Not classified
183,2019,10.7,SH.STA.SUIC.P5,DNK,Denmark,Europe & Central Asia,High income,Not classified
184,2016,9.3,SH.STA.SUIC.P5,DJI,Djibouti,Middle East & North Africa,Lower middle income,IDA
185,2017,9.7,SH.STA.SUIC.P5,DJI,Djibouti,Middle East & North Africa,Lower middle income,IDA
186,2018,9.7,SH.STA.SUIC.P5,DJI,Djibouti,Middle East & North Africa,Lower middle income,IDA
187,2019,9.6,SH.STA.SUIC.P5,DJI,Djibouti,Middle East & North Africa,Lower middle income,IDA
188,2016,6.4,SH.STA.SUIC.P5,DOM,Dominican Republic,Latin America & Caribbean ,Upper middle income,IBRD
189,2017,5.7,SH.STA.SUIC.P5,DOM,Dominican Republic,Latin America & Caribbean ,Upper middle income,IBRD
190,2018,5.2,SH.STA.SUIC.P5,DOM,Dominican Republic,Latin America & Caribbean ,Upper middle income,IBRD
191,2019,4.9,SH.STA.SUIC.P5,DOM,Dominican Republic,Latin America & Caribbean ,Upper middle income,IBRD
192,2016,9,SH.STA.SUIC.P5,ECU,Ecuador,Latin America & Caribbean ,Upper middle income,IBRD
193,2017,9.2,SH.STA.SUIC.P5,ECU,Ecuador,Latin America & Caribbean ,Upper middle income,IBRD
194,2018,8.1,SH.STA.SUIC.P5,ECU,Ecuador,Latin America & Caribbean ,Upper middle income,IBRD
195,2019,7.6,SH.STA.SUIC.P5,ECU,Ecuador,Latin America & Caribbean ,Upper middle income,IBRD
196,2016,3.2,SH.STA.SUIC.P5,EGY,"Egypt, Arab Rep.",Middle East & North Africa,Lower middle income,IBRD
197,2017,3,SH.STA.SUIC.P5,EGY,"Egypt, Arab Rep.",Middle East & North Africa,Lower middle income,IBRD
198,2018,3,SH.STA.SUIC.P5,EGY,"Egypt, Arab Rep.",Middle East & North Africa,Lower middle income,IBRD
199,2019,3,SH.STA.SUIC.P5,EGY,"Egypt, Arab Rep.",Middle East & North Africa,Lower middle income,IBRD
200,2016,5.7,SH.STA.SUIC.P5,SLV,El Salvador,Latin America & Caribbean ,Lower middle income,IBRD
201,2017,6.1,SH.STA.SUIC.P5,SLV,El Salvador,Latin America & Caribbean ,Lower middle income,IBRD
202,2018,6,SH.STA.SUIC.P5,SLV,El Salvador,Latin America & Caribbean ,Lower middle income,IBRD
203,2019,6.1,SH.STA.SUIC.P5,SLV,El Salvador,Latin America & Caribbean ,Lower middle income,IBRD
204,2016,9.3,SH.STA.SUIC.P5,GNQ,Equatorial Guinea,Sub-Saharan Africa ,Upper middle income,IBRD
205,2017,7.8,SH.STA.SUIC.P5,GNQ,Equatorial Guinea,Sub-Saharan Africa ,Upper middle income,IBRD
206,2018,8.3,SH.STA.SUIC.P5,GNQ,Equatorial Guinea,Sub-Saharan Africa ,Upper middle income,IBRD
207,2019,7.9,SH.STA.SUIC.P5,GNQ,Equatorial Guinea,Sub-Saharan Africa ,Upper middle income,IBRD
208,2016,11.5,SH.STA.SUIC.P5,ERI,Eritrea,Sub-Saharan Africa ,Low income,IDA
209,2017,11.3,SH.STA.SUIC.P5,ERI,Eritrea,Sub-Saharan Africa ,Low income,IDA
210,2018,11.3,SH.STA.SUIC.P5,ERI,Eritrea,Sub-Saharan Africa ,Low income,IDA
211,2019,10.9,SH.STA.SUIC.P5,ERI,Eritrea,Sub-Saharan Africa ,Low income,IDA
212,2016,15.7,SH.STA.SUIC.P5,EST,Estonia,Europe & Central Asia,High income,Not classified
213,2017,18.7,SH.STA.SUIC.P5,EST,Estonia,Europe & Central Asia,High income,Not classified
214,2018,15.3,SH.STA.SUIC.P5,EST,Estonia,Europe & Central Asia,High income,Not classified
215,2019,14.9,SH.STA.SUIC.P5,EST,Estonia,Europe & Central Asia,High income,Not classified
216,2016,32.8,SH.STA.SUIC.P5,SWZ,Eswatini,Sub-Saharan Africa ,Lower middle income,IBRD
217,2017,30.4,SH.STA.SUIC.P5,SWZ,Eswatini,Sub-Saharan Africa ,Lower middle income,IBRD
218,2018,28.5,SH.STA.SUIC.P5,SWZ,Eswatini,Sub-Saharan Africa ,Lower middle income,IBRD
219,2019,29.4,SH.STA.SUIC.P5,SWZ,Eswatini,Sub-Saharan Africa ,Lower middle income,IBRD
220,2016,5.5,SH.STA.SUIC.P5,ETH,Ethiopia,Sub-Saharan Africa ,Low income,IDA
221,2017,5.4,SH.STA.SUIC.P5,ETH,Ethiopia,Sub-Saharan Africa ,Low income,IDA
222,2018,5.4,SH.STA.SUIC.P5,ETH,Ethiopia,Sub-Saharan Africa ,Low income,IDA
223,2019,5.4,SH.STA.SUIC.P5,ETH,Ethiopia,Sub-Saharan Africa ,Low income,IDA
224,2016,9.4,SH.STA.SUIC.P5,FJI,Fiji,East Asia & Pacific,Upper middle income,Blend
225,2017,9.3,SH.STA.SUIC.P5,FJI,Fiji,East Asia & Pacific,Upper middle income,Blend
226,2018,9.1,SH.STA.SUIC.P5,FJI,Fiji,East Asia & Pacific,Upper middle income,Blend
227,2019,9,SH.STA.SUIC.P5,FJI,Fiji,East Asia & Pacific,Upper middle income,Blend
228,2016,15.2,SH.STA.SUIC.P5,FIN,Finland,Europe & Central Asia,High income,Not classified
229,2017,15.9,SH.STA.SUIC.P5,FIN,Finland,Europe & Central Asia,High income,Not classified
230,2018,16.2,SH.STA.SUIC.P5,FIN,Finland,Europe & Central Asia,High income,Not classified
231,2019,15.3,SH.STA.SUIC.P5,FIN,Finland,Europe & Central Asia,High income,Not classified
232,2016,14.9,SH.STA.SUIC.P5,FRA,France,Europe & Central Asia,High income,Not classified
233,2017,14.6,SH.STA.SUIC.P5,FRA,France,Europe & Central Asia,High income,Not classified
234,2018,14.2,SH.STA.SUIC.P5,FRA,France,Europe & Central Asia,High income,Not classified
235,2019,13.8,SH.STA.SUIC.P5,FRA,France,Europe & Central Asia,High income,Not classified
236,2016,9.2,SH.STA.SUIC.P5,GAB,Gabon,Sub-Saharan Africa ,Upper middle income,IBRD
237,2017,8.8,SH.STA.SUIC.P5,GAB,Gabon,Sub-Saharan Africa ,Upper middle income,IBRD
238,2018,8.6,SH.STA.SUIC.P5,GAB,Gabon,Sub-Saharan Africa ,Upper middle income,IBRD
239,2019,8.4,SH.STA.SUIC.P5,GAB,Gabon,Sub-Saharan Africa ,Upper middle income,IBRD
240,2016,4.9,SH.STA.SUIC.P5,GMB,"Gambia, The",Sub-Saharan Africa ,Low income,IDA
241,2017,4.9,SH.STA.SUIC.P5,GMB,"Gambia, The",Sub-Saharan Africa ,Low income,IDA
242,2018,4.8,SH.STA.SUIC.P5,GMB,"Gambia, The",Sub-Saharan Africa ,Low income,IDA
243,2019,4.8,SH.STA.SUIC.P5,GMB,"Gambia, The",Sub-Saharan Africa ,Low income,IDA
244,2016,10.7,SH.STA.SUIC.P5,GEO,Georgia,Europe & Central Asia,Upper middle income,IBRD
245,2017,9.6,SH.STA.SUIC.P5,GEO,Georgia,Europe & Central Asia,Upper middle income,IBRD
246,2018,9.4,SH.STA.SUIC.P5,GEO,Georgia,Europe & Central Asia,Upper middle income,IBRD
247,2019,9.2,SH.STA.SUIC.P5,GEO,Georgia,Europe & Central Asia,Upper middle income,IBRD
248,2016,13,SH.STA.SUIC.P5,DEU,Germany,Europe & Central Asia,High income,Not classified
249,2017,12.6,SH.STA.SUIC.P5,DEU,Germany,Europe & Central Asia,High income,Not classified
250,2018,12.9,SH.STA.SUIC.P5,DEU,Germany,Europe & Central Asia,High income,Not classified
251,2019,12.3,SH.STA.SUIC.P5,DEU,Germany,Europe & Central Asia,High income,Not classified
252,2016,7.2,SH.STA.SUIC.P5,GHA,Ghana,Sub-Saharan Africa ,Lower middle income,IDA
253,2017,7,SH.STA.SUIC.P5,GHA,Ghana,Sub-Saharan Africa ,Lower middle income,IDA
254,2018,6.6,SH.STA.SUIC.P5,GHA,Ghana,Sub-Saharan Africa ,Lower middle income,IDA
255,2019,6.6,SH.STA.SUIC.P5,GHA,Ghana,Sub-Saharan Africa ,Lower middle income,IDA
256,2016,4.7,SH.STA.SUIC.P5,GRC,Greece,Europe & Central Asia,High income,Not classified
